id,case,template,whole,digit,zeros,control,layer,model,revision,template_mode,sequence_length,numeral_token_count,hard_margin,easy_margin,donor_margin,patched_margin,margin_effect,hard_correct,patched_correct,target_positions,source_positions,random_positions
causal-gen-000,0,relation_statements,101,0,1,easy_number_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,system-prepended-to-user,84,11,8.875,10.4375,-9.0625,10.0625,1.1875,True,True,"[24, 25, 26, 27, 28, 29, 35, 36, 37, 38, 39]","[34, 35, 36, 37, 38, 39, 24, 25, 26, 27, 28]","[69, 57, 16, 67, 10, 33, 76, 9, 5, 73, 65]"
causal-gen-000,0,relation_statements,101,0,1,easy_random_positions,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,system-prepended-to-user,84,11,8.875,10.4375,-9.0625,8.25,-0.625,True,True,"[24, 25, 26, 27, 28, 29, 35, 36, 37, 38, 39]","[69, 57, 16, 67, 10, 33, 76, 9, 5, 73, 65]","[69, 57, 16, 67, 10, 33, 76, 9, 5, 73, 65]"
causal-gen-000,0,relation_statements,101,0,1,easy_answer_position,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,system-prepended-to-user,84,11,8.875,10.4375,-9.0625,8.8125,-0.0625,True,True,"[24, 25, 26, 27, 28, 29, 35, 36, 37, 38, 39]",[83],"[69, 57, 16, 67, 10, 33, 76, 9, 5, 73, 65]"
causal-gen-000,0,relation_statements,101,0,1,donor_number_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,system-prepended-to-user,84,11,8.875,10.4375,-9.0625,-9.0,-17.875,True,False,"[24, 25, 26, 27, 28, 29, 35, 36, 37, 38, 39]","[24, 25, 26, 27, 28, 29, 35, 36, 37, 38, 39]","[69, 57, 16, 67, 10, 33, 76, 9, 5, 73, 65]"
causal-gen-000,0,relation_statements,101,0,1,donor_random_positions,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,system-prepended-to-user,84,11,8.875,10.4375,-9.0625,8.875,0.0,True,True,"[24, 25, 26, 27, 28, 29, 35, 36, 37, 38, 39]","[69, 57, 16, 67, 10, 33, 76, 9, 5, 73, 65]","[69, 57, 16, 67, 10, 33, 76, 9, 5, 73, 65]"
causal-gen-000,0,relation_statements,101,0,1,donor_answer_position,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,system-prepended-to-user,84,11,8.875,10.4375,-9.0625,8.8125,-0.0625,True,True,"[24, 25, 26, 27, 28, 29, 35, 36, 37, 38, 39]",[83],"[69, 57, 16, 67, 10, 33, 76, 9, 5, 73, 65]"
causal-gen-001,1,relation_statements,102,1,1,easy_number_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,system-prepended-to-user,84,11,-7.25,10.4375,-10.25,6.875,14.125,False,True,"[24, 25, 26, 27, 28, 29, 35, 36, 37, 38, 39]","[34, 35, 36, 37, 38, 39, 24, 25, 26, 27, 28]","[4, 13, 75, 61, 8, 33, 32, 54, 71, 49, 53]"
causal-gen-001,1,relation_statements,102,1,1,easy_random_positions,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,system-prepended-to-user,84,11,-7.25,10.4375,-10.25,-7.25,0.0,False,False,"[24, 25, 26, 27, 28, 29, 35, 36, 37, 38, 39]","[4, 13, 75, 61, 8, 33, 32, 54, 71, 49, 53]","[4, 13, 75, 61, 8, 33, 32, 54, 71, 49, 53]"
causal-gen-001,1,relation_statements,102,1,1,easy_answer_position,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,system-prepended-to-user,84,11,-7.25,10.4375,-10.25,-7.25,0.0,False,False,"[24, 25, 26, 27, 28, 29, 35, 36, 37, 38, 39]",[83],"[4, 13, 75, 61, 8, 33, 32, 54, 71, 49, 53]"
causal-gen-001,1,relation_statements,102,1,1,donor_number_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,system-prepended-to-user,84,11,-7.25,10.4375,-10.25,-10.1875,-2.9375,False,False,"[24, 25, 26, 27, 28, 29, 35, 36, 37, 38, 39]","[24, 25, 26, 27, 28, 29, 35, 36, 37, 38, 39]","[4, 13, 75, 61, 8, 33, 32, 54, 71, 49, 53]"
